City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
448,Oran,DZ,84.13,scattered clouds,35.6911,-0.6417,The Adress Residence SM
451,Bubaque,GW,78.46,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
455,Fukue,JP,81.23,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
456,Melville,US,78.58,clear sky,40.7934,-73.4151,Marriott Melville Long Island
457,Am Timan,TD,75.81,moderate rain,11.0297,20.2827,Palais du chef Canton Salamt
458,Brigantine,US,80.02,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
459,Balikpapan,ID,77.05,broken clouds,-1.2675,116.8289,ibis Balikpapan
463,Damaturu,NG,87.12,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
464,Raga,SS,75.79,overcast clouds,8.4596,25.678,
468,Port Keats,AU,76.59,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
469,Zamania,IN,83.55,overcast clouds,25.4333,83.5667,UMAR ZAMA KHAN PLACE
471,Shubarshi,KZ,88.23,scattered clouds,48.5872,57.1869,
475,Pochutla,MX,89.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
476,Kutum,SD,88.41,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
478,Tamiahua,MX,86.76,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
479,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
483,Fujin,CN,78.06,overcast clouds,47.26,132.0322,Xilong Hotel Fujin Shop
486,Pathein,MM,76.8,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
487,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
489,Asaka,JP,83.17,overcast clouds,35.8047,139.6019,Hotel LiveMax Saitama Asaka Ekimae
500,Pontianak,ID,78.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
504,Qui Nhon,VN,85.55,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
506,Rampur Hat,IN,82.31,overcast clouds,24.1667,87.7833,Amantran Hotel & Resorts
510,Spornoye,RU,87.82,scattered clouds,50.8448,37.2913,
511,Wakema,MM,76.6,overcast clouds,16.6,95.1833,AungKaDay Hotel
512,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
514,Bonfim,BR,82.65,overcast clouds,3.0833,-59.95,
520,Sao Filipe,CV,77.0,broken clouds,14.8961,-24.4956,Hotel Xaguate
521,Wajima,JP,80.94,broken clouds,37.4,136.9,Wajiima Onsen Yashio
522,Hopewell,US,81.86,clear sky,37.3043,-77.2872,Best Western Plus Hopewell Fort Lee
523,Del Rio,US,75.31,light rain,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
524,Ladario,BR,79.09,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
525,Nicoya,CR,85.55,broken clouds,10.1483,-85.452,Guayacan Real
526,Elk City,US,77.49,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
527,Carutapera,BR,80.15,scattered clouds,-1.195,-46.02,Lidera
531,George Town,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
533,Salinopolis,BR,85.84,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
535,Saryozek,KZ,76.95,overcast clouds,44.3583,77.9753,Gostinitsa
540,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
541,Valuyki,RU,85.87,clear sky,50.2035,38.1067,Kak Doma Inn
545,Merke,KZ,76.48,broken clouds,42.8728,73.1786,Gostinitsa Merki
547,Fare,PF,79.05,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
555,Bardiyah,LY,87.76,clear sky,31.7561,25.0865,بورتو بردية
