City_ID,City,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,Lompoc,34.6391,-120.4579,clear sky,68.92,76,1,3.44,US,2021-08-02 16:08:10
233,Anloga,5.7947,0.8973,overcast clouds,78.76,80,92,12.93,GH,2021-08-02 16:16:19
234,Buraydah,26.326,43.975,clear sky,97.16,7,2,5.19,SA,2021-08-02 16:14:47
235,Simao,22.7886,100.9748,overcast clouds,65.48,98,87,2.06,CN,2021-08-02 16:17:28
236,Tateyama,34.9833,139.8667,mist,81.99,89,75,5.75,JP,2021-08-02 16:17:28
237,Ponta Do Sol,32.6667,-17.1,few clouds,82.13,72,22,3.49,PT,2021-08-02 16:14:16
238,Ilo,-17.6394,-71.3375,overcast clouds,61.66,77,90,6.91,PE,2021-08-02 16:15:05
239,Chivacoa,10.1603,-68.895,overcast clouds,82.63,71,90,10.54,VE,2021-08-02 16:17:29
240,Margate,51.3813,1.3862,broken clouds,65.32,65,62,1.99,GB,2021-08-02 16:17:29
241,Broadstairs,51.3591,1.4394,broken clouds,65.86,75,60,1.99,GB,2021-08-02 16:16:17
242,Hualmay,-11.0964,-77.6139,few clouds,67.46,70,22,9.6,PE,2021-08-02 16:12:45
243,Erzin,36.9559,36.2,clear sky,91.92,65,0,8.05,TR,2021-08-02 16:11:35
244,Camacha,33.0833,-16.3333,scattered clouds,72.82,83,40,13.8,PT,2021-08-02 16:12:14
245,Ifanadiana,-21.3,47.6333,few clouds,60.46,96,21,1.43,MG,2021-08-02 16:17:30
246,Mango,27.9797,-82.3065,clear sky,92.28,78,1,0.0,US,2021-08-02 16:17:30
247,Uvat,59.1433,68.8953,overcast clouds,63.3,76,90,5.68,RU,2021-08-02 16:10:37
248,Ramhormoz,31.28,49.6035,clear sky,104.07,9,5,6.04,IR,2021-08-02 16:17:30
249,Hithadhoo,-0.6,73.0833,overcast clouds,80.76,76,94,4.34,MV,2021-08-02 16:12:33
250,Dawlatabad,36.4141,64.9053,clear sky,89.8,13,0,5.59,AF,2021-08-02 16:17:31
251,Tiksi,71.6872,128.8694,scattered clouds,47.5,67,30,2.53,RU,2021-08-02 16:12:38
252,Tolbazy,54.0241,55.8825,light rain,77.76,36,23,5.84,RU,2021-08-02 16:17:31
253,Cangucu,-31.395,-52.6756,clear sky,57.24,58,6,4.63,BR,2021-08-02 16:17:32
254,Bakchar,57.0186,82.0711,overcast clouds,57.54,95,100,2.57,RU,2021-08-02 16:17:32
255,Port Hardy,50.6996,-127.4199,light intensity drizzle,59.18,88,90,3.44,CA,2021-08-02 16:15:18
256,Tayu,-6.5397,111.0518,scattered clouds,77.85,81,50,6.73,ID,2021-08-02 16:17:32
257,Stiubieni,47.9667,26.7833,scattered clouds,80.47,57,43,15.14,RO,2021-08-02 16:17:33
258,Nampa,43.5407,-116.5635,clear sky,80.71,76,1,4.61,US,2021-08-02 16:14:32
